time,aao,fase
2002-07-01,-0.5909,negativo
2002-08-01,-0.0994,neutral
2002-09-01,-0.8645,negativo
2002-10-01,-2.564,negativo
2002-11-01,-0.9235,negativo
2002-12-01,1.3085,positivo
2003-01-01,-0.9879,negativo
2003-02-01,-0.3569,neutral
2003-03-01,-0.1877,neutral
2003-04-01,0.2243,neutral
2003-05-01,0.3845,neutral
2003-06-01,-0.7745,negativo
2003-07-01,0.727,positivo
2003-08-01,0.678,positivo
2003-09-01,-0.3231,neutral
2003-10-01,-0.0249,neutral
2003-11-01,-0.7117,negativo
2003-12-01,-1.3229,negativo
2004-01-01,0.8071,positivo
2004-02-01,-1.1819,negativo
2004-03-01,0.4317,neutral
2004-04-01,0.151,neutral
2004-05-01,0.4596,neutral
2004-06-01,1.1954,positivo
2004-07-01,1.4743,positivo
2004-08-01,-0.0712,neutral
2004-09-01,0.2536,neutral
2004-10-01,-0.0425,neutral
2004-11-01,-0.2422,neutral
2004-12-01,-0.9729,negativo
2005-01-01,-0.1287,neutral
2005-02-01,1.2435,positivo
2005-03-01,0.1583,neutral
2005-04-01,0.3554,neutral
2005-05-01,-0.2973,neutral
2005-06-01,-1.4277,negativo
2005-07-01,-0.252,neutral
2005-08-01,0.2282,neutral
2005-09-01,0.2407,neutral
2005-10-01,0.031,neutral
2005-11-01,-0.5515,negativo
2005-12-01,-1.9678,negativo
2006-01-01,0.3389,neutral
2006-02-01,-0.2113,neutral
2006-03-01,0.5006,positivo
2006-04-01,-0.1693,neutral
2006-05-01,1.6954,positivo
2006-06-01,0.438,neutral
2006-07-01,0.9255,positivo
2006-08-01,-1.7271,negativo
2006-09-01,-0.3241,neutral
2006-10-01,0.8792,positivo
2006-11-01,0.1013,neutral
2006-12-01,0.6384,positivo
2007-01-01,-0.0828,neutral
2007-02-01,0.0749,neutral
2007-03-01,-0.5701,negativo
2007-04-01,-1.0352,negativo
2007-05-01,-0.6119,negativo
2007-06-01,-1.198,negativo
2007-07-01,-2.6307,negativo
2007-08-01,-0.1079,neutral
2007-09-01,0.0305,neutral
2007-10-01,-0.4337,neutral
2007-11-01,-0.9838,negativo
2007-12-01,1.9293,positivo
2008-01-01,1.2085,positivo
2008-02-01,1.1474,positivo
2008-03-01,0.5875,positivo
2008-04-01,-0.8734,negativo
2008-05-01,-0.4898,neutral
2008-06-01,1.3484,positivo
2008-07-01,0.3202,neutral
2008-08-01,0.087,neutral
2008-09-01,1.3856,positivo
2008-10-01,1.2149,positivo
2008-11-01,0.9197,positivo
2008-12-01,1.1938,positivo
2009-01-01,0.9626,positivo
2009-02-01,0.4558,neutral
2009-03-01,0.6046,positivo
2009-04-01,0.0292,neutral
2009-05-01,-0.7328,negativo
2009-06-01,-0.47,neutral
2009-07-01,-1.2342,negativo
2009-08-01,-0.6856,negativo
2009-09-01,-0.0165,neutral
2009-10-01,0.0848,neutral
2009-11-01,-1.9151,negativo
2009-12-01,0.6068,positivo
2010-01-01,-0.7569,negativo
2010-02-01,-0.7752,negativo
2010-03-01,0.1083,neutral
2010-04-01,0.3774,neutral
2010-05-01,1.021,positivo
2010-06-01,2.0707,positivo
2010-07-01,2.4237,positivo
2010-08-01,1.5101,positivo
2010-09-01,0.4018,neutral
2010-10-01,1.3349,positivo
2010-11-01,1.5163,positivo
2010-12-01,0.2054,neutral
2011-01-01,0.0524,neutral
2011-02-01,1.0738,positivo
2011-03-01,-0.2962,neutral
2011-04-01,-0.87,negativo
2011-05-01,1.2657,positivo
2011-06-01,-0.099,neutral
2011-07-01,-1.3842,negativo
2011-08-01,-1.202,negativo
2011-09-01,-1.25,negativo
2011-10-01,0.3882,neutral
2011-11-01,-0.9075,negativo
2011-12-01,2.5735,positivo
